source,filename,filepath,size_kb,page_count,file_hash,is_exact_duplicate,extraction_method,extraction_error,char_count,word_count,text_output_path,retry_status,detected_language,garbage_char_ratio,detected_year
ppqs_advisories,Advisory on exotic pest Fall Army Worm (FA_Y) Spodopterd frugiperda if occurrence found on Maize or other crops.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on exotic pest Fall Army Worm (FA_Y) Spodopterd frugiperda if occurrence found on Maize or other crops.pdf,1553.2,2,4bc248003beee47f62c0fac60f2f1a9e1f9f817f83f7f5371da6e8a0497f5625,False,native,,4065,609,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on exotic pest Fall Army Worm (FA_Y) Spodopterd frugiperda if occurrence found on Maize or other crops.txt,not_applicable,unknown,,
ppqs_advisories,Advisory on Fall Army Worm (FAW) (spodoptera frugiperda) on Maize Crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Fall Army Worm (FAW) (spodoptera frugiperda) on Maize Crop.pdf,1333.2,2,ca72965c568c55b360cb6e5b028bdbaa05d453dcb27d761fcfb3e998057836f9,False,native,,4008,613,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Fall Army Worm (FAW) (spodoptera frugiperda) on Maize Crop.txt,not_applicable,en,0.015,2024.0
ppqs_advisories,Advisory on Fall Army Worm (FAW) Spodoptera frugiperda on Maize crop.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on Fall Army Worm (FAW) Spodoptera frugiperda on Maize crop.pdf,191.6,2,2b1139289c934901db2c69e5cdd7d3ab89f8eb815e60f5f54db05a6ab044d4b4,False,native,,4667,821,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on Fall Army Worm (FAW) Spodoptera frugiperda on Maize crop.txt,not_applicable,en,0.013,2022.0
ppqs_advisories,Advisory on false Smut of rice caused by Ustiloginoideu virens.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on false Smut of rice caused by Ustiloginoideu virens.pdf,297.6,5,3d2404e6d05e9af88de180d38bc4ec70234264a680ebc6d79ce79708d4015e68,False,native,,6698,1032,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on false Smut of rice caused by Ustiloginoideu virens.txt,not_applicable,en,0.015,2020.0
ppqs_advisories,Advisory on incidence of Apple scab disease in Himachal Pradesh.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Apple scab disease in Himachal Pradesh.pdf,1408.7,2,e380f2dcf46c414031084d111b97f432f6659f1c30b59ce92922e62204f907c9,False,native,,3396,723,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Apple scab disease in Himachal Pradesh.txt,not_applicable,en,0.021,
ppqs_advisories,Advisory on incidence of Cassava mealy bug (Phenacoccus manihoti Matile-Ferrero) in Kerala.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Cassava mealy bug (Phenacoccus manihoti Matile-Ferrero) in Kerala.pdf,183.6,2,7ce157ac82349484d8d1df67a80ca586c646eb92be319eb563f083f66946f405,False,native,,3227,467,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Cassava mealy bug (Phenacoccus manihoti Matile-Ferrero) in Kerala.txt,not_applicable,en,0.024,2020.0
ppqs_advisories,Advisory on incidence of Citrus Psylla (Diaphorina citri) on Citrus in Amaravathi district of Maharashtra.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Citrus Psylla (Diaphorina citri) on Citrus in Amaravathi district of Maharashtra.pdf,508.7,2,7a03f9a4deb166a06f4a4615b0a4761b546acc32376e514751dc4f6dc7fb533d,False,native,,3555,522,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Citrus Psylla (Diaphorina citri) on Citrus in Amaravathi district of Maharashtra.txt,not_applicable,en,0.016,2022.0
ppqs_advisories,Advisory on incidence of Fall Army Worm (FAW) on cotton crop in Maharashtra state.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Fall Army Worm (FAW) on cotton crop in Maharashtra state.pdf,2424.9,3,98723e3a5fcad238b2ebe972d00cdc85b9f51dc4d386a3c36bf0b6ddc4a5dc74,False,native,,6304,1085,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Fall Army Worm (FAW) on cotton crop in Maharashtra state.txt,not_applicable,en,0.023,2019.0
ppqs_advisories,Advisory on incidence of Fall Army Worm (FAW) Spodoptera frugiperda on Maize in Himachal Pradesh.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Fall Army Worm (FAW) Spodoptera frugiperda on Maize in Himachal Pradesh.pdf,1461.9,2,2f43ff3ca3dc668edd9f78aaa8dd76d944894ade72bbbde6931225203723e49c,True,native,,5673,860,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Fall Army Worm (FAW) Spodoptera frugiperda on Maize in Himachal Pradesh.txt,not_applicable,en,0.019,2019.0
ppqs_advisories,Advisory on incidence of Gundhi Bug (Leptocorisa acuta) on rice.pdf,../data/raw/pdfs/PPQS_Advisories\Advisory on incidence of Gundhi Bug (Leptocorisa acuta) on rice.pdf,1327.8,2,ce712de12eb96c3cf559a7e888fff13c253fc789ff85456a1d46c5055ee61b40,False,native,,4822,968,../data/raw/pdfs/pdf_eda_outputs\extracted_text\ppqs_advisories\Advisory on incidence of Gundhi Bug (Leptocorisa acuta) on rice.txt,not_applicable,en,0.043,
